"","cowcode","country","Date","coup_id","year","month","day","event_type","realized","unrealized","military_coup","rebel_coup","palace_coup","popular_revolt","dissident_action","foreign_coup","i_m_trans","forced_resign","counter_coup","auto_coup","attempted","conspiracy","ambiguous","no_harm","exec_injured","exec_killed","house_arrest","jailed","tried","fled","expatriated"
"663","360","Rumania","12/31/1947","36012311947","1947","12","31","coup",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
"664","360","Rumania","12/25/1989","36012251989","1989","12","25","coup",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"665","360","Rumania","10/1/1991","36010011991","1991","10","1","coup",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"666","393","Russia","9/21/1993","39309211993","1993","9","21","coup",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"667","393","Russia","9/23/1993","39309231993","1993","9","23","attempted",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"668","517","Rwanda","7/5/1973","51707051973","1973","7","5","coup",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"669","517","Rwanda","5/5/1980","51705051980","1980","5","5","conspiracy",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"670","517","Rwanda","4/7/1994","51704071994","1994","4","7","coup",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"671","403","Sao Tome and Principe","8/15/1995","40308151995","1995","8","15","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"672","403","Sao Tome and Principe","7/16/2003","40307162003","2003","7","16","coup",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"673","433","Senegal","12/17/1962","43312171962","1962","12","17","attempted",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"674","340","Serbia","10/7/1999","34010071999","1999","10","7","coup",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"675","591","Seychelles","6/5/1977","59106051977","1977","6","5","coup",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"676","591","Seychelles","11/16/1979","59111161979","1979","11","16","conspiracy",0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
